activity_id,day_of_week,open_time,close_time,break_hour_start,break_hour_end,is_open_24h,is_closed
1,monday,09:00,23:30,,,False,False
1,tuesday,09:00,23:30,,,False,False
1,wednesday,09:00,23:30,,,False,False
1,thursday,09:00,23:30,,,False,False
1,friday,09:00,23:30,,,False,False
1,saturday,09:00,23:30,,,False,False
1,sunday,09:00,23:30,,,False,False
2,monday,09:00,00:00,,,False,False
2,tuesday,09:00,00:00,,,False,False
2,wednesday,09:00,00:00,,,False,False
2,thursday,09:00,00:00,,,False,False
2,friday,09:00,01:00,,,False,False
2,saturday,09:00,01:00,,,False,False
2,sunday,12:00,00:00,,,False,False
3,monday,09:00,20:00,,,False,False
3,tuesday,09:00,20:00,,,False,False
3,wednesday,09:00,20:00,,,False,False
3,thursday,09:00,20:00,,,False,False
3,friday,09:00,20:00,,,False,False
3,saturday,09:00,14:00,,,False,False
3,sunday,09:00,14:00,,,False,False
4,monday,07:00,20:00,,,False,False
4,tuesday,07:00,20:00,,,False,False
4,wednesday,07:00,20:00,,,False,False
4,thursday,07:00,20:00,,,False,False
4,friday,07:00,20:00,,,False,False
4,saturday,07:00,20:00,,,False,False
4,sunday,07:00,20:00,,,False,False
5,monday,00:00,23:59,,,True,False
5,tuesday,00:00,23:59,,,True,False
5,wednesday,00:00,23:59,,,True,False
5,thursday,00:00,23:59,,,True,False
5,friday,00:00,23:59,,,True,False
5,saturday,00:00,23:59,,,True,False
5,sunday,,,,,False,True
6,monday,09:00,21:00,,,False,False
6,tuesday,09:00,21:00,,,False,False
6,wednesday,09:00,21:00,,,False,False
6,thursday,09:00,21:00,,,False,False
6,friday,09:00,22:00,,,False,False
6,saturday,09:00,22:00,,,False,False
6,sunday,09:00,22:00,,,False,False
7,monday,09:00,00:00,,,False,False
7,tuesday,09:00,00:00,,,False,False
7,wednesday,09:00,00:00,,,False,False
7,thursday,09:00,00:00,,,False,False
7,friday,09:00,00:00,,,False,False
7,saturday,16:00,00:00,,,False,False
7,sunday,,,,,False,True
8,monday,06:00,17:00,,,False,False
8,tuesday,06:00,17:00,,,False,False
8,wednesday,06:00,17:00,,,False,False
8,thursday,06:00,17:00,,,False,False
